k,image_id,cer_wiener,len_orig,len_wiener
0.005,0018813,0.3824,68,68
0.005,0018814,0.2639,466,480
0.005,0018815,0.8216,185,82
0.005,0018816,0.8898,953,152
0.005,0018817,0.7656,64,84
0.005,0018818,0.9459,111,11
0.005,0018819,0.1680,482,442
0.005,0018820,0.3109,238,232
0.005,0018821,0.2133,211,189
0.005,0018822,0.2500,444,437
0.005,0018823,0.3267,251,264
0.005,0018824,0.0991,343,350
0.005,0018825,0.6827,208,126
0.005,0018826,0.3260,454,386
0.005,0018827,0.0249,201,202
0.005,0018828,0.0994,543,555
0.005,0018829,0.0858,513,528
0.005,0018830,0.7772,377,278
0.005,0018831,0.7710,297,180
0.005,0018832,0.7695,243,98
0.005,0018833,0.8310,284,119
0.005,0018834,0.2779,331,320
0.005,0018835,0.6452,279,164
0.005,0018836,0.4696,362,240
0.005,0018837,0.0920,511,512
0.005,0018838,0.2834,554,473
0.005,0018839,0.6899,487,272
0.005,0018840,0.7662,231,154
0.005,0018841,0.0399,326,327
0.005,0018842,0.7820,445,202
0.005,0018843,0.2646,378,359
0.005,0018844,0.8884,457,123
0.005,0018845,0.7136,213,122
0.005,0018846,1.0000,0,50
0.005,0018847,0.7437,398,215
0.005,0018848,0.0653,199,200
0.005,0018849,0.2876,306,327
0.005,0018850,0.7823,294,171
0.005,0018851,0.8660,418,80
0.005,0018852,0.6840,269,218
0.005,0018853,0.1023,303,310
0.005,0018854,1.0267,75,98
0.005,0018855,0.5772,272,275
0.005,0018856,0.0781,448,469
0.005,0018857,0.6518,382,340
0.005,0018858,0.4788,378,424
0.005,0018859,0.8199,211,251
0.005,0018860,0.2210,276,304
0.005,0018861,0.7262,168,193
0.005,0018862,0.2431,473,502
0.005,0018863,0.3057,157,172
0.005,0018864,0.8565,230,49
0.005,0018865,0.7365,406,224
0.005,0018866,0.9241,79,22
0.005,0018867,0.5250,120,79
0.005,0018868,0.2129,310,300
0.005,0018869,0.6526,567,523
0.005,0018870,0.8362,458,127
0.005,0018871,0.7849,251,143
0.005,0018872,0.7754,334,163
0.005,0018873,0.1753,388,402
0.005,0018874,0.3214,224,225
0.005,0018875,0.7843,649,345
0.005,0018876,0.5679,486,516
0.005,0018877,0.7333,45,24
0.005,0018878,0.5000,114,109
0.005,0018879,0.8065,336,395
0.005,0018880,0.5018,271,235
0.005,0018881,0.7207,179,135
0.005,0018882,0.2555,227,243
0.005,0018883,0.6223,376,265
0.005,0018884,0.7872,47,47
0.005,0018885,1.0000,12,1
0.005,0018886,0.1239,355,354
0.005,0018887,0.2457,289,299
0.005,0018888,0.0602,166,168
0.005,0018889,0.2827,237,236
0.005,0018890,0.2532,308,311
0.005,0018891,0.7203,379,302
0.005,0018892,0.7851,484,231
0.005,0018893,0.0593,253,254
0.005,0018894,0.7254,193,150
0.005,0018895,0.2381,126,118
0.005,0018896,0.8451,142,68
0.005,0018897,0.8507,67,16
0.005,0018898,0.8509,322,93
0.005,0018899,0.3619,315,309
0.005,0018900,0.8761,476,88
0.005,0018901,0.0947,285,289
0.005,0018902,0.2558,172,177
0.005,0018903,0.6328,128,121
0.005,0018904,0.1503,153,163
0.005,0018905,0.5496,131,110
0.005,0018906,0.8113,106,41
0.005,0018907,0.6059,170,170
0.005,0018908,0.0903,432,435
0.005,0018909,0.1928,363,346
0.005,0018910,0.8063,284,138
0.005,0018911,0.9130,621,63
0.005,0018912,0.4126,269,232
0.005,0018913,0.0000,1,1
0.005,0018914,0.4455,202,190
0.005,0018915,0.8344,302,82
0.005,0018916,0.6303,422,305
0.005,0018917,0.1329,173,190
0.005,0018918,0.4602,352,231
0.005,0018919,0.6236,364,190
0.005,0018920,0.2978,178,189
0.005,0018921,0.5982,112,128
0.005,0018922,0.7122,139,116
0.005,0018923,0.5396,265,238
0.005,0018924,0.1846,363,367
0.005,0018925,0.0692,347,341
0.005,0018926,0.2255,306,316
0.005,0018927,0.3026,347,365
0.005,0018928,0.8177,373,266
0.005,0018929,0.2027,296,319
0.005,0018930,0.7520,492,378
0.005,0018931,0.2386,616,601
0.005,0018932,0.9391,230,252
0.005,0018933,0.7290,417,247
0.005,0018934,0.8957,230,34
0.005,0018935,1.0000,1,0
0.005,0018936,0.1801,372,387
0.005,0018937,0.4239,243,231
0.005,0018938,0.6793,290,323
0.005,0018939,0.7727,154,91
0.005,0018940,1.0000,135,0
0.005,0018941,0.3236,309,277
0.005,0018942,0.0935,107,111
0.005,0018943,0.2085,446,442
0.005,0018944,0.0564,585,579
0.005,0018945,0.9703,809,24
0.005,0018946,0.6427,375,301
0.005,0018947,0.7237,456,357
0.005,0018948,0.6398,508,491
0.005,0018949,0.7368,152,154
0.005,0018950,0.7317,369,318
0.01,0009059,0.1157,337,333
0.01,0009060,0.8532,252,91
0.01,0009061,0.5703,377,334
0.01,0009062,0.0149,201,203
0.01,0009063,0.1154,468,475
0.01,0009064,0.9474,627,41
0.01,0009065,0.5389,347,280
0.01,0009066,0.7108,325,187
0.01,0009067,1.0000,0,287
0.01,0009068,1.0000,0,192
0.01,0009069,0.1083,120,115
0.01,0010952,0.7431,253,170
0.01,0010953,0.7175,446,268
0.01,0010954,0.3879,214,226
0.01,0010955,1.0000,0,374
0.01,0010956,0.5506,267,340
0.01,0014623,0.1834,289,283
0.01,0014624,0.0215,186,186
0.01,0014625,0.1499,447,454
0.01,0014626,0.8000,135,80
0.01,0014627,0.8266,467,115
0.01,0014628,0.9793,145,3
0.01,0014629,0.0837,203,205
0.01,0014630,0.0798,238,234
0.01,0014631,0.8131,289,82
0.01,0014632,1.0000,0,66
0.01,0014633,0.9510,102,5
0.01,0014634,0.8472,432,125
0.01,0014635,0.8981,520,80
0.01,0014636,0.7566,341,230
0.01,0014637,0.1311,572,560
0.01,0014638,0.0948,232,240
0.01,0014640,1.0000,0,348
0.01,0018784,0.9048,105,17
0.01,0018785,0.3598,189,197
0.01,0018786,0.0833,48,49
0.01,0018787,0.5913,345,317
0.01,0018788,0.6706,343,228
